GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
8001,mean=230,298,52017,289,53806,288,53423,278,54696,268,53715,284,52145,309,55292,287,55295,299,53412,289,52450
8001,FILLER,255,51719,271,54445,301,52309,242,52250,271,53585,254,52363,292,54192,300,53122,272,52189,300,52502
10963,FILLER,326,62943,305,63201,381,65694,335,61921,340,63157,355,63555,344,62232,317,63982,341,63589,344,61828
10963,FILLER,310,64076,341,62443,317,62255,282,63571,335,60895,343,63184,347,63449,361,62803,304,61282,372,64502
10963,FILLER,312,61674,344,60962,306,61012,305,60320,321,62224,309,63500,331,61313,335,61691,329,63667,307,61085
15010,FILLER,464,90099,480,88684,478,89095,483,92049,554,91347,472,88281,468,86313,495,90446,431,86600,465,86955
15010,FILLER,477,88342,522,87317,473,87429,475,87768,468,88927,477,88269,483,90335,461,88119,480,88212,472,88252
15010,FILLER,499,90835,495,87810,492,90550,487,87614,477,82895,490,87599,484,86608,489,86776,457,88674,473,89026
20534,FILLER,688,125538,693,123775,656,124978,635,124008,664,125312,664,125670,620,124443,636,121870,657,127893,681,125518
20534,FILLER,637,120384,642,124463,668,125983,614,119901,640,124326,637,122698,631,121393,640,124673,651,124906,676,125827
20534,FILLER,688,126023,675,127509,641,123539,638,123698,607,122874,651,129958,626,124600,672,128114,677,125082,642,127186
28070,FILLER,966,175888,964,176668,960,182121,910,174192,907,177097,945,175993,944,181971,985,179659,990,180602,921,179220
