GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
39900,FILLER,62,9200,41,9043,56,9178,59,9213,54,9140,54,9197,41,9187,47,9094,56,9249,50,9199
46800,FILLER,71,10923,63,10786,67,10728,52,10987,61,10866,62,10812,60,10534,55,10649,45,10683,49,10648
46800,FILLER,62,10902,50,10620,39,10856,53,10705,58,10884,64,10837,64,10787,59,10575,48,10730,55,10805
46800,FILLER,48,10731,68,10804,62,10978,60,10753,53,10682,53,10709,64,10781,64,10871,65,10608,59,10721
53400,FILLER,66,12260,47,12057,78,12007,69,12301,60,12405,71,12216,63,12153,70,12215,74,12243,76,12332
53400,FILLER,69,12234,47,12236,76,12225,72,12329,64,12248,65,12195,54,12344,80,12330,64,12428,62,12238
53400,FILLER,65,12236,71,12429,78,12326,81,12275,62,12356,56,12332,60,12352,79,12244,79,12249,77,12417
60000,FILLER,82,13823,87,13755,72,13894,66,13785,75,13631,75,13776,73,13653,82,13867,79,13969,70,13876
60000,FILLER,81,13956,73,13738,87,13826,91,13766,67,13617,83,13765,75,13860,80,13854,80,13517,69,13908
60000,FILLER,78,13959,76,13584,88,13873,83,13878,86,13769,63,13761,74,13888,70,13824,70,13816,87,13721
66000,FILLER,60,15273,73,15178,84,15190,79,15116,100,15222,74,15140,78,15176,87,15330,74,14977,78,15320
66000,FILLER,90,14968,81,15206,71,15182,85,15422,77,15228,84,14984,93,15026,78,15205,78,15237,88,15096
66000,FILLER,79,15146,85,15057,75,15396,81,15280,81,15241,80,15249,77,15413,78,15086,94,15257,113,14983
165000,FILLER,181,38123,214,37998,230,37801,179,38057,220,37806,217,38130,212,37818,206,38128,226,37747,221,37989
165000,FILLER,227,37858,230,37971,215,37887,217,37776,214,38040,178,37830,212,38002,198,38058,221,38151,213,37898
165000,FILLER,229,38095,201,37742,208,37759,195,37998,187,37770,204,38143,210,38053,194,37922,221,37911,214,37965
305700,FILLER,372,69957,382,70501,374,70385,364,70179,363,70090,374,70014,386,70624,385,70770,366,70507,378,70208
305700,FILLER,418,70561,395,70554,392,70238,375,69981,404,70780,384,69725,365,70232,382,70529,391,70741,391,69625
305700,FILLER,427,70437,367,70108,385,69771,403,70870,401,70091,413,70236,416,70191,384,69961,405,70563,415,70454
501000,FILLER,603,114919,605,114691,592,115212,629,114645,623,115675,649,115066,618,115017,649,115297,654,115137,636,115334
501000,FILLER,596,114973,608,115096,621,115385,605,115285,588,114886,578,114698,591,115014,640,114713,616,115531,603,115296
501000,FILLER,609,115446,646,114930,633,114982,571,115647,628,114382,629,115353,642,115535,616,115243,606,115399,672,114842
666300,FILLER,796,153476,794,153140,813,153090,820,153702,794,153065,790,153012,807,153965,791,153286,838,153567,806,152958
666300,FILLER,815,153607,802,152407,850,153564,853,153635,808,153137,802,153555,805,153143,799,153314,790,152778,841,153538
666300,FILLER,782,154184,842,153168,776,152955,835,153395,789,152879,806,153313,858,152714,798,153160,791,153495,816,153284
999000,FILLER,1263,229490,1220,230259,1205,230146,1177,229289,1279,229586,1218,229817,1286,230024,1190,230121,1240,230999,1259,230575
999000,FILLER,1215,230058,1187,229848,1227,230478,1217,229923,1253,229454,1297,229962,1226,229722,1169,229060,1242,229718,1224,229277
999000,FILLER,1185,230028,1234,229985,1230,229767,1272,230016,1236,228845,1171,229217,1149,228640,1224,228700,1234,230194,1205,229562
1331790,FILLER,1612,306319,1574,306441,1626,305547,1593,307293,1559,306816,1607,306747,1596,307305,1624,307355,1644,306000,1630,305929
1331790,FILLER,1588,305556,1557,306102,1539,306841,1660,306401,1662,306774,1632,306635,1686,306657,1636,305689,1658,306042,1621,306128
1331790,FILLER,1620,306089,1664,306621,1513,306802,1591,306210,1622,306044,1689,306320,1570,305997,1561,306797,1574,304788,1724,306325
1500000,FILLER,1809,345438,1838,345053,1830,345475,1779,345096,1793,344224,1788,344821,1781,344434,1827,344391,1857,345030,1803,344680
1500000,FILLER,1769,344650,1770,344397,1848,343964,1904,344847,1873,346131,1853,345550,1812,344291,1772,346111,1791,345369,1850,344814
1500000,FILLER,1861,345075,1791,345132,1718,344813,1853,345098,1808,344868,1858,344620,1844,344828,1843,344898,1788,345327,1756,345399
